job Title,adresse company,Domaine,Fonction,Contrat,salaire,Niveau_etude
Agent de Technique Informatique,Casablanca,Informatique / Multimédia / Internet,Fonction : Informatique - Systèmes d'Information,CDI,A discuter,Bac +2
Ingénieur développeur Symfony / PHP 7,Marrakech,Informatique / Multimédia / Internet,Fonction : Informatique - Développement,CDI,8 000 - 10 000 DH,Bac +5
INFOGRAPHIE DESING,Casablanca,Informatique / Multimédia / Internet,Fonction : Informatique - Webdesign/Infographie,A discuter,A discuter,Bac +2
Intégration erp odoo,Casablanca,Informatique / Multimédia / Internet,Fonction : Informatique - Systèmes d'Information,CDI,A discuter,Pas important
Technicien HELP DESK,Agadir,Informatique / Multimédia / Internet,Fonction : Informatique - Systèmes/Réseaux,CDI,A discuter,Bac +2
INFORMATICIEN,Casablanca,Informatique / Multimédia / Internet,Fonction : Informatique - Systèmes/Réseaux,A discuter,A discuter,Bac +3
Technicien en iformatique et réseau,Casablanca,Informatique / Multimédia / Internet,Fonction : Informatique - Systèmes/Réseaux,CDI,A discuter,Pas important
Technicien en informatique Deroua et Casa,Casablanca,Informatique / Multimédia / Internet,Fonction : Informatique - Systèmes/Réseaux,CDI,A discuter,Pas important
Stage PFE - Business developer,Casablanca,Informatique / Multimédia / Internet,Fonction : Commercial IT/Agence Com,Stage,Commission,Pas important
Stage PFE en développement mobile React Native,Casablanca,Informatique / Multimédia / Internet,Fonction : Informatique - Développement,Stage,A discuter,Bac +5
Ingénieur Devops Cloud & Infrastructure,Casablanca,Informatique / Multimédia / Internet,Fonction : Informatique - Systèmes/Réseaux,CDI,Plus de 10 000 DH,Bac +5
Stage PFE en Marketing digital & communication,Casablanca,Informatique / Multimédia / Internet,Fonction : Marketing/Communication,Stage,A discuter,Pas important
Developpeur SENIOR JAVA LIFERAY,Rabat,Informatique / Multimédia / Internet,Fonction : Informatique - Développement,CDI,A discuter,Bac +5
EVELOPPEUR SENIOR JAVA/LIFERAY,Rabat,Informatique / Multimédia / Internet,Fonction : Informatique - Développement,CDI,A discuter,Bac +5
Video editor,Tout le Maroc,Informatique / Multimédia / Internet,Fonction : Marketing/Communication,A discuter,2 000 - 3 000 DH,Pas important
Responsable IT,Marrakech,Informatique / Multimédia / Internet,Fonction : Informatique - Systèmes d'Information,CDI,A discuter,Bac +5
Développeur IT,Casablanca,Informatique / Multimédia / Internet,Fonction : Informatique - Développement,A discuter,A discuter,Bac +3
Technicien réseaux /IT,Casablanca,Informatique / Multimédia / Internet,Fonction : Informatique - Systèmes/Réseaux,A discuter,A discuter,Niveau Bac
Technicien IT (H/F),Tanger,Informatique / Multimédia / Internet,Fonction : Informatique - Systèmes/Réseaux,A discuter,A discuter,Bac +2
IT Technician,Tanger,Informatique / Multimédia / Internet,Fonction : Informatique - Systèmes/Réseaux,A discuter,A discuter,Bac +2
Technicien informatique,Zagora,Informatique / Multimédia / Internet,Fonction : Informatique - Développement,CDI,6 000 - 8 000 DH,Bac +2
Stage dev informatique IT ET IA Appli Mobile,Casablanca,Informatique / Multimédia / Internet,Fonction : Informatique - Développement,Stage,Commission,Bac +2
Business Developer IT,Casablanca,Informatique / Multimédia / Internet,Fonction : Commercial IT/Agence Com,CDI,A discuter,Bac +4
Administrateur IT - Support niveau 1 et 2 - CDI,Marrakech,Informatique / Multimédia / Internet,Fonction : Informatique - Systèmes/Réseaux,CDI,6 000 - 8 000 DH,Bac +2
