job Title,adresse company,time,Domaine,Fonction,Contrat,Entreprise,salaire,Niveau_etude
Scrum master (H/F),Technopolis (Maroc),15/02/2024,Informatique,Informatique / Electronique,CDI,N/A,N/A,Bac +5 et plus
Ingénieur V&V Ferroviaire,"Rabat, Rabat-Salé-Kénitra, Maroc (Maroc)",15/02/2024,Ferroviaire,Informatique / Electronique,CDI,N/A,N/A,Bac +5 et plus
Ingénieur devops,Casablanca (Maroc),15/02/2024,Banque / Finance,Informatique / Electronique,Freelance,N/A,N/A,Bac +5 et plus
Data Analyst Confirmé H/F,Rabat (Maroc),15/02/2024,Centre d'appel,Informatique / Electronique,CDI,N/A,N/A,Bac +3
Team Leader  junior Support IT,"Fès-Meknès, Maroc (Maroc)",15/02/2024,Informatique,Informatique / Electronique,CDI,N/A,N/A,Bac +3
Ingénieur Etude et Développement PHP (H/F),Rabat (Maroc),15/02/2024,Informatique,Informatique / Electronique,CDI,N/A,N/A,Bac +5 et plus
"Senior NVH Performance Engineer (Noise, vibration and harshness)",Casablanca (Maroc),15/02/2024,Automobile / Motos / Cycles,Informatique / Electronique,CDI,N/A,N/A,Bac +5 et plus
Vehicle Function Owner,Casablanca (Maroc),15/02/2024,Automobile / Motos / Cycles,Informatique / Electronique,CDI,N/A,N/A,Bac +5 et plus
Technical Leader Senior,Casablanca (Maroc),14/02/2024,Informatique,Informatique / Electronique,Freelance,N/A,N/A,Bac +5 et plus
Scrum Master,Rabat (Maroc),14/02/2024,Informatique,Informatique / Electronique,CDI,N/A,N/A,Bac +5 et plus
Développeur .Net Core,Rabat (Maroc),14/02/2024,Informatique,Informatique / Electronique,CDI,N/A,N/A,Bac +5 et plus
"Chef de projet IA, Intelligence Artificielle",Casablanca (Maroc),14/02/2024,Informatique,Informatique / Electronique,CDI,N/A,N/A,Bac +5 et plus
Data Architect,Casablanca (Maroc),14/02/2024,Informatique,Informatique / Electronique,CDI,N/A,N/A,Bac +5 et plus
Ingénieur Etudes et développements informatique,Casablanca (Maroc),14/02/2024,Banque / Finance,Informatique / Electronique,CDI,N/A,N/A,Bac +5 et plus
Tech Lead,Casablanca (Maroc),14/02/2024,Informatique,Informatique / Electronique,CDI,N/A,N/A,Bac +5 et plus
Service Delivery Officer,Rabat (Maroc),14/02/2024,Assurance / Courtage,Informatique / Electronique,CDI,N/A,N/A,Bac +4
Test Manager Anglophone (H/F),Rabat (Maroc),14/02/2024,Informatique,Informatique / Electronique,CDI,N/A,N/A,Bac +5 et plus
Consultant QlikSense H/F,Casablanca (Maroc),14/02/2024,Informatique,Informatique / Electronique,CDI,N/A,N/A,Bac +5 et plus
Tech Lead,Casablanca (Maroc),14/02/2024,Informatique,Informatique / Electronique,CDI,N/A,N/A,Bac +5 et plus
Responsable Informatique,Casablanca (Maroc),14/02/2024,Banque / Finance,Informatique / Electronique,CDI,N/A,N/A,Bac +3
Ingénieurs tests(H/F),Casablanca (Maroc),14/02/2024,Informatique,Informatique / Electronique,CDI,N/A,N/A,Bac +5 et plus
Référent technique,Safi (Maroc),14/02/2024,Enseignement / Formation,Informatique / Electronique,CDI,N/A,N/A,Autodidacte
Costbook Pilot,Casablanca (Maroc),14/02/2024,Automobile / Motos / Cycles,Informatique / Electronique,CDI,N/A,N/A,Bac +4
